BioSample,Accession,Collection_Date,Host,Submitters
SAMN45128756,PQ798046.1,2024-11-05,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN45128755,PQ798045.1,2024-11-05,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN45128755,PQ798044.1,2024-11-05,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN45128755,PQ798043.1,2024-11-05,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN45128755,PQ798042.1,2024-11-05,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN45128755,PQ798041.1,2024-11-05,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN45128755,PQ798040.1,2024-11-05,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN45128755,PQ798039.1,2024-11-05,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN45128755,PQ798038.1,2024-11-05,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN45952789,PV060501.1,2024-12-04,Gallus gallus,"Hicks,J.A., Stuber,T., Norris,C., Lakin,S., Killian,M.L., Franzen,K., Aufderhar,M."
SAMN45952789,PV060500.1,2024-12-04,Gallus gallus,"Hicks,J.A., Stuber,T., Norris,C., Lakin,S., Killian,M.L., Franzen,K., Aufderhar,M."
SAMN45952789,PV060499.1,2024-12-04,Gallus gallus,"Hicks,J.A., Stuber,T., Norris,C., Lakin,S., Killian,M.L., Franzen,K., Aufderhar,M."
SAMN45952789,PV060498.1,2024-12-04,Gallus gallus,"Hicks,J.A., Stuber,T., Norris,C., Lakin,S., Killian,M.L., Franzen,K., Aufderhar,M."
SAMN45952789,PV060497.1,2024-12-04,Gallus gallus,"Hicks,J.A., Stuber,T., Norris,C., Lakin,S., Killian,M.L., Franzen,K., Aufderhar,M."
SAMN45952789,PV060496.1,2024-12-04,Gallus gallus,"Hicks,J.A., Stuber,T., Norris,C., Lakin,S., Killian,M.L., Franzen,K., Aufderhar,M."
SAMN45952789,PV060495.1,2024-12-04,Gallus gallus,"Hicks,J.A., Stuber,T., Norris,C., Lakin,S., Killian,M.L., Franzen,K., Aufderhar,M."
SAMN45952789,PV060494.1,2024-12-04,Gallus gallus,"Hicks,J.A., Stuber,T., Norris,C., Lakin,S., Killian,M.L., Franzen,K., Aufderhar,M."
SAMN44727527,PQ797981.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727527,PQ797980.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727527,PQ797979.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727527,PQ797978.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727527,PQ797977.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727527,PQ797976.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727527,PQ797975.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727527,PQ797974.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727526,PQ797973.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727526,PQ797972.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727526,PQ797971.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727526,PQ797970.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727526,PQ797969.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727526,PQ797968.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727526,PQ797967.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727526,PQ797966.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727529,PQ797997.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727529,PQ797996.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727529,PQ797995.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727529,PQ797994.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727529,PQ797993.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727529,PQ797992.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727529,PQ797991.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727529,PQ797990.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727528,PQ797989.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727528,PQ797988.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727528,PQ797987.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727528,PQ797986.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727528,PQ797985.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727528,PQ797984.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727528,PQ797983.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727528,PQ797982.1,2024-10-24,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727532,PQ798005.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727532,PQ798004.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727532,PQ798003.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727532,PQ798002.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727532,PQ798001.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727532,PQ798000.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727532,PQ797999.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727532,PQ797998.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727534,PQ798021.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727534,PQ798020.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727534,PQ798019.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727534,PQ798018.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727534,PQ798017.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727534,PQ798016.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727534,PQ798015.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727534,PQ798014.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727533,PQ798013.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727533,PQ798012.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727533,PQ798011.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727533,PQ798010.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727533,PQ798009.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727533,PQ798008.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727533,PQ798007.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727533,PQ798006.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727535,PQ798029.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727535,PQ798028.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727535,PQ798027.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727535,PQ798026.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727535,PQ798025.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727535,PQ798024.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727535,PQ798023.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN44727535,PQ798022.1,2024-10-30,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
